Date,Transport type,Percentage
2020-10-18,London bus,56
2020-10-19,London bus,57
2020-10-20,London bus,55
2020-10-21,London bus,53
2020-10-22,London bus,57
2020-10-23,London bus,56
2020-10-24,London bus,57
2020-10-25,London bus,58
2020-10-26,London bus,57
2020-10-27,London bus,52
2020-10-28,London bus,55
2020-10-29,London bus,55
2020-10-30,London bus,57
2020-10-31,London bus,59
2020-11-01,London bus,59
2020-11-02,London bus,60
2020-11-03,London bus,62
2020-11-04,London bus,64
2020-11-05,London bus,47
2020-11-06,London bus,47
2020-11-07,London bus,40
2020-11-08,London bus,36
2020-11-09,London bus,49
2020-11-10,London bus,49
2020-11-11,London bus,47
2020-11-12,London bus,48
2020-11-13,London bus,49
2020-11-14,London bus,38
2020-11-15,London bus,37
2020-11-16,London bus,49
2020-11-17,London bus,49
2020-11-18,London bus,48
2020-11-19,London bus,48
2020-11-20,London bus,48
2020-11-21,London bus,42
2020-11-22,London bus,41
2020-11-23,London bus,49
2020-11-24,London bus,49
2020-11-25,London bus,48
2020-11-26,London bus,48
2020-11-27,London bus,47
2020-11-28,London bus,42
2020-11-29,London bus,39
2020-11-30,London bus,49
2020-12-01,London bus,51
2020-12-02,London bus,56
2020-12-03,London bus,54
2020-12-04,London bus,58
2020-12-05,London bus,58
2020-12-06,London bus,55
2020-12-07,London bus,56
2020-12-08,London bus,58
2020-12-09,London bus,56
2020-12-10,London bus,58
2020-12-11,London bus,58
2020-12-12,London bus,59
2020-12-13,London bus,54
2020-12-14,London bus,57
2020-12-15,London bus,60
2020-12-16,London bus,52
2020-12-17,London bus,54
2020-12-18,London bus,52
2020-12-19,London bus,54
2020-12-20,London bus,41
2020-12-21,London bus,43
2020-12-22,London bus,44
2020-12-23,London bus,44
2020-12-24,London bus,46
2020-12-25,London bus,null
2020-12-26,London bus,26
2020-12-27,London bus,35
2020-12-28,London bus,50
2020-12-29,London bus,40
2020-12-30,London bus,42
2020-12-31,London bus,42
2021-01-01,London bus,38
2021-01-02,London bus,34
2021-01-03,London bus,37
2021-01-04,London bus,36
2021-01-05,London bus,33
2021-01-06,London bus,32
2021-01-07,London bus,32
2021-01-08,London bus,31
2021-01-09,London bus,33
2021-01-10,London bus,32
2021-01-11,London bus,32
2021-01-12,London bus,31
2021-01-13,London bus,30
2021-01-14,London bus,30
2021-01-15,London bus,32
2021-01-16,London bus,31
2021-01-17,London bus,34
2021-01-18,London bus,32
2021-01-19,London bus,31
2021-01-20,London bus,31
2021-01-21,London bus,32
2021-01-22,London bus,33
2021-01-23,London bus,34
2021-01-24,London bus,30
2021-01-25,London bus,33
2021-01-26,London bus,31
2021-01-27,London bus,32
2021-01-28,London bus,33
2021-01-29,London bus,33
2021-01-30,London bus,32
2021-01-31,London bus,35
2021-02-01,London bus,34
2021-02-02,London bus,33
2021-02-03,London bus,33
2021-02-04,London bus,33
2021-02-05,London bus,35
2021-02-06,London bus,35
2021-02-07,London bus,39
2021-02-08,London bus,32
2020-03-01,Bus (excluding London),null
2020-03-02,Bus (excluding London),null
2020-03-03,Bus (excluding London),null
2020-03-04,Bus (excluding London),null
2020-03-05,Bus (excluding London),null
