Date,Nation,Cumulative cases per 100k
2021-09-18,Northern Ireland,11409.97029
2021-09-17,Northern Ireland,11361.32899
2021-09-16,Northern Ireland,11307.09554
2021-09-15,Northern Ireland,11248.95811
2021-09-14,Northern Ireland,11186.28365
2021-09-13,Northern Ireland,11117.75324
2021-09-12,Northern Ireland,11042.78657
2021-09-11,Northern Ireland,10995.56969
2021-09-10,Northern Ireland,10941.81104
2021-09-09,Northern Ireland,10866.79161
2021-09-08,Northern Ireland,10780.42958
2021-09-07,Northern Ireland,10698.86837
2021-09-06,Northern Ireland,10609.71025
2021-09-05,Northern Ireland,10517.65054
2021-09-04,Northern Ireland,10451.3359
2021-09-03,Northern Ireland,10386.70945
2021-09-02,Northern Ireland,10313.37822
2021-09-01,Northern Ireland,10239.67769
2021-08-31,Northern Ireland,10160.91257
2021-08-30,Northern Ireland,10076.55527
2021-08-29,Northern Ireland,10001.11379
2021-08-28,Northern Ireland,9944.295274
2021-08-27,Northern Ireland,9881.515299
2021-08-26,Northern Ireland,9804.807666
2021-08-25,Northern Ireland,9718.762171
2021-08-24,Northern Ireland,9628.918223
2021-08-23,Northern Ireland,9540.656965
2021-08-22,Northern Ireland,9447.858666
2021-08-21,Northern Ireland,9379.803062
2021-08-20,Northern Ireland,9301.512741
2021-08-19,Northern Ireland,9218.10506
2021-08-18,Northern Ireland,9122.985484
2021-08-17,Northern Ireland,9029.448597
2021-08-16,Northern Ireland,8938.655037
2021-08-15,Northern Ireland,8851.607172
2021-08-14,Northern Ireland,8781.652343
2021-08-13,Northern Ireland,8717.395192
2021-08-12,Northern Ireland,8648.864783
2021-08-11,Northern Ireland,8576.166627
2021-08-10,Northern Ireland,8499.9338
2021-08-09,Northern Ireland,8423.542705
2021-08-08,Northern Ireland,8348.365004
