date,series,value
2021-11-12,2021,88976
2021-11-13,2021,88512
2021-11-14,2021,88352
2021-11-15,2021,88333
2021-11-16,2021,88558
2021-11-17,2021,88834
2021-11-18,2021,89504
2021-11-19,2021,90345
2021-11-20,2021,91223
2021-11-21,2021,91611
2021-11-22,2021,91823
2021-11-23,2021,92386
2021-11-24,2021,92954
2021-11-25,2021,91386
2021-11-26,2021,89667
2021-11-27,2021,89326
2021-11-28,2021,90042
2021-11-29,2021,90495
2021-11-30,2021,90553
2021-12-01,2021,90459
2021-12-02,2021,92360
2021-12-03,2021,94224
2021-12-04,2021,94410
2021-12-05,2021,93694
2021-12-06,2021,93142
2021-12-07,2021,92669
2021-12-08,2021,92497
2021-12-09,2021,92365
2021-12-10,2021,92168
