Date,Transport type,Percentage
04/01/2021,London underground,19
05/01/2021,London underground,17
06/01/2021,London underground,17
07/01/2021,London underground,16
08/01/2021,London underground,16
09/01/2021,London underground,14
10/01/2021,London underground,14
11/01/2021,London underground,16
12/01/2021,London underground,16
13/01/2021,London underground,15
14/01/2021,London underground,15
15/01/2021,London underground,16
16/01/2021,London underground,12
17/01/2021,London underground,24
18/01/2021,London underground,16
19/01/2021,London underground,15
20/01/2021,London underground,15
21/01/2021,London underground,15
22/01/2021,London underground,16
23/01/2021,London underground,13
24/01/2021,London underground,12
25/01/2021,London underground,17
26/01/2021,London underground,16
27/01/2021,London underground,16
28/01/2021,London underground,16
29/01/2021,London underground,16
30/01/2021,London underground,14
31/01/2021,London underground,15
01/02/2021,London underground,17
02/02/2021,London underground,17
03/02/2021,London underground,17
04/02/2021,London underground,16
05/02/2021,London underground,17
06/02/2021,London underground,15
07/02/2021,London underground,18
08/02/2021,London underground,17
01/03/2020,London bus,102
02/03/2020,London bus,97
03/03/2020,London bus,96
04/03/2020,London bus,97
05/03/2020,London bus,92
06/03/2020,London bus,96
07/03/2020,London bus,93
08/03/2020,London bus,95
09/03/2020,London bus,95
10/03/2020,London bus,97
11/03/2020,London bus,93
12/03/2020,London bus,92
13/03/2020,London bus,87
14/03/2020,London bus,83
15/03/2020,London bus,74
16/03/2020,London bus,79
17/03/2020,London bus,70
18/03/2020,London bus,65
19/03/2020,London bus,59
20/03/2020,London bus,52
21/03/2020,London bus,39
22/03/2020,London bus,32
23/03/2020,London bus,31
24/03/2020,London bus,22
25/03/2020,London bus,19
26/03/2020,London bus,18
27/03/2020,London bus,18
28/03/2020,London bus,17
29/03/2020,London bus,16
30/03/2020,London bus,17
31/03/2020,London bus,17
01/04/2020,London bus,16
02/04/2020,London bus,16
03/04/2020,London bus,16
04/04/2020,London bus,17
05/04/2020,London bus,17
06/04/2020,London bus,18
07/04/2020,London bus,18
08/04/2020,London bus,17
09/04/2020,London bus,18
10/04/2020,London bus,17
11/04/2020,London bus,16
12/04/2020,London bus,14
13/04/2020,London bus,18
14/04/2020,London bus,19
15/04/2020,London bus,18
16/04/2020,London bus,18
17/04/2020,London bus,18
18/04/2020,London bus,16
19/04/2020,London bus,
20/04/2020,London bus,
21/04/2020,London bus,
22/04/2020,London bus,
23/04/2020,London bus,
24/04/2020,London bus,
25/04/2020,London bus,
26/04/2020,London bus,
27/04/2020,London bus,
28/04/2020,London bus,
29/04/2020,London bus,
30/04/2020,London bus,
01/05/2020,London bus,
02/05/2020,London bus,
03/05/2020,London bus,
04/05/2020,London bus,
05/05/2020,London bus,
06/05/2020,London bus,
07/05/2020,London bus,
08/05/2020,London bus,
09/05/2020,London bus,
10/05/2020,London bus,
11/05/2020,London bus,
12/05/2020,London bus,
13/05/2020,London bus,
14/05/2020,London bus,
15/05/2020,London bus,
16/05/2020,London bus,
17/05/2020,London bus,
18/05/2020,London bus,
19/05/2020,London bus,
20/05/2020,London bus,
21/05/2020,London bus,
22/05/2020,London bus,
23/05/2020,London bus,
24/05/2020,London bus,
25/05/2020,London bus,
26/05/2020,London bus,
27/05/2020,London bus,
28/05/2020,London bus,
29/05/2020,London bus,
30/05/2020,London bus,
31/05/2020,London bus,
01/06/2020,London bus,
02/06/2020,London bus,
03/06/2020,London bus,
04/06/2020,London bus,
05/06/2020,London bus,
06/06/2020,London bus,
07/06/2020,London bus,
08/06/2020,London bus,
09/06/2020,London bus,25
10/06/2020,London bus,25
11/06/2020,London bus,26
12/06/2020,London bus,26
13/06/2020,London bus,31
14/06/2020,London bus,30
15/06/2020,London bus,32
16/06/2020,London bus,31
17/06/2020,London bus,30
18/06/2020,London bus,29
19/06/2020,London bus,29
20/06/2020,London bus,36
21/06/2020,London bus,34
22/06/2020,London bus,34
23/06/2020,London bus,34
24/06/2020,London bus,34
25/06/2020,London bus,34
26/06/2020,London bus,35
27/06/2020,London bus,36
28/06/2020,London bus,36
29/06/2020,London bus,33
30/06/2020,London bus,32
01/07/2020,London bus,33
02/07/2020,London bus,33
03/07/2020,London bus,35
04/07/2020,London bus,39
05/07/2020,London bus,40
06/07/2020,London bus,37
07/07/2020,London bus,37
08/07/2020,London bus,36
09/07/2020,London bus,37
10/07/2020,London bus,39
11/07/2020,London bus,45
12/07/2020,London bus,45
13/07/2020,London bus,41
14/07/2020,London bus,40
15/07/2020,London bus,40
16/07/2020,London bus,42
17/07/2020,London bus,44
18/07/2020,London bus,50
19/07/2020,London bus,43
20/07/2020,London bus,45
21/07/2020,London bus,45
22/07/2020,London bus,46
23/07/2020,London bus,49
24/07/2020,London bus,49
25/07/2020,London bus,51
26/07/2020,London bus,50
27/07/2020,London bus,46
28/07/2020,London bus,50
29/07/2020,London bus,49
30/07/2020,London bus,49
31/07/2020,London bus,50
01/08/2020,London bus,54
02/08/2020,London bus,54
03/08/2020,London bus,51
04/08/2020,London bus,50
05/08/2020,London bus,51
06/08/2020,London bus,49
07/08/2020,London bus,50
08/08/2020,London bus,54
09/08/2020,London bus,51
10/08/2020,London bus,53
11/08/2020,London bus,49
12/08/2020,London bus,53
13/08/2020,London bus,48
14/08/2020,London bus,53
15/08/2020,London bus,54
16/08/2020,London bus,54
17/08/2020,London bus,53
18/08/2020,London bus,54
19/08/2020,London bus,51
20/08/2020,London bus,55
21/08/2020,London bus,54
22/08/2020,London bus,59
23/08/2020,London bus,58
24/08/2020,London bus,57
25/08/2020,London bus,56
26/08/2020,London bus,58
27/08/2020,London bus,53
28/08/2020,London bus,55
29/08/2020,London bus,61
30/08/2020,London bus,59
31/08/2020,London bus,69
01/09/2020,London bus,55
02/09/2020,London bus,52
03/09/2020,London bus,53
04/09/2020,London bus,56
05/09/2020,London bus,61
06/09/2020,London bus,58
07/09/2020,London bus,58
08/09/2020,London bus,58
09/09/2020,London bus,58
10/09/2020,London bus,58
11/09/2020,London bus,59
12/09/2020,London bus,59
13/09/2020,London bus,58
14/09/2020,London bus,58
15/09/2020,London bus,57
16/09/2020,London bus,58
17/09/2020,London bus,58
18/09/2020,London bus,59
19/09/2020,London bus,58
20/09/2020,London bus,61
21/09/2020,London bus,58
22/09/2020,London bus,59
23/09/2020,London bus,57
24/09/2020,London bus,57
25/09/2020,London bus,58
26/09/2020,London bus,57
27/09/2020,London bus,57
28/09/2020,London bus,57
29/09/2020,London bus,58
30/09/2020,London bus,57
01/10/2020,London bus,58
02/10/2020,London bus,55
03/10/2020,London bus,54
04/10/2020,London bus,52
05/10/2020,London bus,59
06/10/2020,London bus,58
07/10/2020,London bus,59
08/10/2020,London bus,57
09/10/2020,London bus,60
10/10/2020,London bus,61
11/10/2020,London bus,61
12/10/2020,London bus,59
13/10/2020,London bus,57
14/10/2020,London bus,59
15/10/2020,London bus,59
16/10/2020,London bus,60
17/10/2020,London bus,57
18/10/2020,London bus,56
19/10/2020,London bus,57
20/10/2020,London bus,55
21/10/2020,London bus,53
22/10/2020,London bus,57
23/10/2020,London bus,56
24/10/2020,London bus,57
25/10/2020,London bus,58
26/10/2020,London bus,57
27/10/2020,London bus,52
28/10/2020,London bus,55
29/10/2020,London bus,55
30/10/2020,London bus,57
31/10/2020,London bus,59
01/11/2020,London bus,59
02/11/2020,London bus,60
03/11/2020,London bus,62
04/11/2020,London bus,64
05/11/2020,London bus,47
06/11/2020,London bus,47
07/11/2020,London bus,40
08/11/2020,London bus,36
09/11/2020,London bus,49
10/11/2020,London bus,49
11/11/2020,London bus,47
12/11/2020,London bus,48
13/11/2020,London bus,49
14/11/2020,London bus,38
15/11/2020,London bus,37
16/11/2020,London bus,49
17/11/2020,London bus,49
18/11/2020,London bus,48
19/11/2020,London bus,48
20/11/2020,London bus,48
21/11/2020,London bus,42
22/11/2020,London bus,41
23/11/2020,London bus,49
24/11/2020,London bus,49
25/11/2020,London bus,48
26/11/2020,London bus,48
27/11/2020,London bus,47
28/11/2020,London bus,42
29/11/2020,London bus,39
30/11/2020,London bus,49
01/12/2020,London bus,51
02/12/2020,London bus,56
03/12/2020,London bus,54
04/12/2020,London bus,58
05/12/2020,London bus,58
06/12/2020,London bus,55
07/12/2020,London bus,56
08/12/2020,London bus,58
09/12/2020,London bus,56
10/12/2020,London bus,58
11/12/2020,London bus,58
12/12/2020,London bus,59
13/12/2020,London bus,54
14/12/2020,London bus,57
15/12/2020,London bus,60
16/12/2020,London bus,52
